Title,Director,Cast,Genre,Notes/Music
Aage Badho,Yeshwant Pithkar,"Dev Anand, Khursheed, Vasant Thengdi, Kusum Deshpande, Madhukar Apte",Social,"Music: Sudhir Phadke
Lyrics: Amar Varma"
Aaj Aur Kal,K A Abbas,"Shyam, Nayantara, Nita, Arif",Social,"Music: Khursheed Anwar
Lyrics: Sohanlal Sahir, Zahir Kashmiri"
Aap Ki Sewa Mein,Vasant Joglekar,"Saroj Borkar, Dixit, Kesari, Shantarin, Samson",Social,"Music Datta Davjekar
Lyrics: Mahipal"
Abidah,Nazir Ajmeri,"Noor Jehan, Kumar, Swarnalata, Majid Khan, Nazima",Social,"Music: A. R. Qureshi
Lyrics: Allama Iqbal, Azeez Minai, Tanveer Naqvi"
Ajamil,Jamnadas Kapadia,"Manhar Desai, Malati, Suresh, Umakant, Narmada Shanker, Kanta Kumari",Social,"Music: Master Mohan
Lyrics: Prabhulal Dwivedi"
Ahinsa,Rajaram,"Gyani, Dulari, Madan Puri, Navin Yagnik, Santosh Kumar, Anwaribai, Nand Kishore",Social,"Music: C. Ramchandra
Lyrics: Gopal Singh Nepali"
Amar Asha,V.M. Viyas,"Sitara Devi, M. Ismail, Ghulam Mohammed, Paro Devi, Uma Kant, Pratima Devi, Pande",Social,"Music: Shanti Kumar
Lyrics: Kabil Amritsari, Kavi Nanak"
Andhon Ki Duniya,Keshavrao Date,"Mahipal, Munawwar Sultana, Manmohan Krishna, Leela Chitnis, Vikas, Gulas, Parshuram","Social, Drama","Music: Vasant Desai
Lyrics: Behzad Lakhnavi, Deewan Sharar, Kumar Barabankvi"
Angoorbala,Naseem Siddiqi,"Prakash, Shanta Patel, Amirbai Karnataki",Social,"Music: Ram Gopal
Lyrics: Shewan Rizvi, Muzaffar Lakhnavi, Shyam"
Arsi,Daud Chand,"Meena Shorey, Al Nasir, Pran, Chandrashekhar, Asha Posley, Cuckoo, Ajmal, Meera",Social,"Music: Lachhiram Tamar, Shyam Sunder
Lyrics: Sarshar Sailani"
Atom Bomb,Homi Wadia,"John Cawas, Sona Chatterjee, Dalpat, Aziz",Action,"Music: A. Karim
Lyrics:I. C. Kapoor"
Attention,M. Navewala,"Benjamin, Yasmeen, Mallika, Iqbal, Mannan",Social,"Music: H. N. Sharma
Lyrics: Safdar Mirza"
Azad Jeevan,Tara Harish,"Latika, Harishchandra, Nazira, Dalpat, Bibi, Dewasker",Social,"Music: N. Omkarnath
Lyrics: Munshi Shyam"
Bahadur Pratap,Bhagwan,"Shanta Patel, Bhagwan, Ram Pratap, Baburao Pehalwan",Action,"Music: C. Ramchandra
Lyrics: Chabi Kumar Mast"
Barrister,Tara Harish,"Benjamin, Gita Bose, Nazira, Dalpat",Social,"Music: N. Omkarnath
Lyrics: Munshi Shyam"
Beete Din,Ezra Mira,"Motilal, Vanmala, Rekha, S Nazir, Solanki, Baby Shyama, Sheela, Bibijan",Social,"Music: M.A. Rauf Osmania, Dinkar Rao
Lyrics: Pandit Phani, H. Tanvir"
