Title,Director,Cast,Genre,Notes,,,,
Do Behnen,Kedar Kapoor,"Rajendra Kumar, Shyama, Jabeen, Radhakishen, Mumtaz, Leela Mishra, Chand Usmani","Family, Drama",Music: Vasant Desai Lyrics: Pradeep,,,,
Do Gunde,V. M. Vyas,"Raaj Kumar, Ajit, Pran, Kumkum, Jayshree Gadkar, Daisy Irani, Subiraj",Action,Music: Ghulam Mohammad Lyrics: Majrooh Sultanpuri,,,,
Do Ustad,Tara Harish,"Madhubala, Raj Kapoor, Sheikh Mukhtar, Sulochana, Daisy Irani","Comedy, Action",Music: O. P. Nayyar Lyrics: Qamar Jalalabadi,,,,
Dr. Z,Jal,"Nirupa Roy, Mahipal, Shakila, Krishna Kumari, Helen, Hiralal","Action, Thriller",Music: Manohar Lyrics: Akhtar Romani,,,,
Duniya Na Mane,V. Avadhoot,"Mala Sinha, Pradeep Kumar, Sheikh Mukhtar, Sulochana, Daisy Irani, Minu Mumtaz, Helen",Social,Music: Madan Mohan Lyrics: Rajendra Krishan,,,,
Ek Armaan Mera,Gunjal,"Jayshree Gadkar, Sohan Kapila, Malika, Sabita Chatterjee",Fantasy,"Music: S. D. Batish Lyrics: Madhusudan Bhagalpuri, Anand Bakshi, Kaifi Irani",,,,
Fashionable Wife,B. K. Adarsh,"Abhi Bhattacharya, Jaymala, Anoop Kumar, Nazir Hussain, Radhakrishan, Manorama",Social,Music: Suresh Talwar Lyrics: Bharat Vyas,,,,
Forty Days,Dwarka Khosla,"Premnath, Shakila, Nishi, K. N. Singh, Bhagwan, Cuckoo","Action, Suspense",Music: Babul Lyrics, Kaifi Azmi,,,
Ghar Ghar Ki Baat,Ravindra Dave,"Suresh, Krishna Kumari","Family, Drama",Music: Kalyanji Virji Shah Lyrics: Gulshan Bawra,,,,
Gokul Ka Chor,Vasant Painter,"Kumkum, Ratnamala, Mohan Choti, Hiralal, Sulochana",Devotional,"Music: Sudhir Phadke Lyrics: Narendra Sharma, Qamar Jalalabadi",,,,
Goonj Uthi Shehnai,Vijay Bhatt,"Rajendra Kumar, Ameeta, Anita Guha, I. S. Johar, Manmohan Krishna, Ulhas, Prem Dhawan","Musical, Romance, Drama",Music: Vasant Desai Lyrics: Bharat Vyas,,,,
Grihalakshmi,Raman B. Desai,"Shahu Modak, Pandharibai, Nazir, Bipin Gupta, Lalita Pawar","Family, Drama",Music: Avinash Vyas Lyrics: Bharat Vyas,,,,
Guest House,Ravindra Dave,"Ajit, Shakila, Pran, Lalita Pawar, Lillian, Tiwari, Helen","Suspense, Drama",Music: Chitragupta Lyrics: Prem Dhawan,,,,
Heera Moti,Krishan Chopra,"Balraj Sahni, Nirupa Roy, Shubha Khote, Naaz, Helen","Family, Social, Drama",Based On Munshi Premchand's short story: Do Bailon Ki Katha Music: Roshan Lyrics: Prem Dhawan,,,,
Hero No.1,Sultan,"Kamran, Heera Sawant, Habib, Naazi, Tun Tun",Action,Music: Iqbal Lyrics: Muzaffar Shahjahanpuri,,,,
Hum Bhi Insaan Hain,Robin Majumdar,"Abhi Bhattacharya, Samar Roy, Kumar, Lata Sinha, Lalita Kumari, Dhumal, Madhumati",Social,"Music: Hemant Kumar, Lyrics: Shailendra",,,,
Hunterwali,B. J. Patel,"John Cawas, Boman Shroff, Mehroo, Samar Roy","Action, Costume",Music: Harbans Bahl Lyrics: Shaad,,,,
Insan Jaag Utha,Shakti Samanta,"Sunil Dutt, Madhubala, Madan Puri, Nishi, Shyama, Minu Mumtaz, Bipin Gupta",Social,Music: S. D. Burman Lyrics: Shailendra,,,,
Jaal Saaz,Arvind Sen,"Kishore Kumar, Mala Sinha, Pran, Shyama, Sabita Chatterjee, Nazir Hussain, Helen","Social, Action",Music: Datta Naik Lyrics: Majrooh Sultanpuri,,,,
Jagga Daku,Chandrakant,"Prithviraj Kapoor, Jairaj, Chandrashekhar, Dara Singh, Jabeen, Minu Mumtaz",Action,Music: S. N. Tripathi Lyrics: Bharat Vyas,,,,
Jagir,Jag Mohan Mattu,"Meena Kumari, Premnath, Kuldip Kaur, Mehmood, Minu Mumtaz, Ulhas, Sheela Vaz","Family, Drama",Music: Madan Mohan Lyrics: Raja Mehdi Ali Khan,,,,
Jawani Ki Hawa,M. Sadiq,"Vyjayantimala, Pradeep Kumar, Shammi, Purnima, Helen",Social,"Music: Ravi Lyrics: Rajendra Krishan, Shailendra",,,,
Jungle King,Masood,"Sheila Ramani, Anwar, Manju, Tun Tun, Pramila","Action, Adventure",Music: Bipin Babul Lyrics: Anjum Jaipuri,,,,
Kaagaz Ke Phool,Guru Dutt,"Guru Dutt, Waheeda Rehman, Naaz (as Baby Naaz), Johnny Walker, Veena, Mehmood, Tun Tun","Romance, Social",Music: S. D. Burman Lyrics: Kaifi Azmi,,,,
Kal Hamara Hai,S. K. Prabhakar,"Madhubala, Bharat Bhushan, Jayant, Hari Shivdasani",Social,Music: Chitragupta Lyrics: Shailendra,,,,
Kali Topi Lal Rumal,Tara Harish,"Chandrashekhar, Shakila, Agha, Mukri, K. N. Singh, Kumkum",Social,Music: Chitragupta Lyrics: Majrooh Sultanpuri,,,,
Kangan,Nanabhai Bhatt,"Ashok Kumar, Nirupa Roy, Daisy Irani, Manhar Desai, Shammi, Bhagwan, Tiwari","Family, Social","Music: Chitragupta, Lyrics: Rajendra Krishan",,,,
Kanhaiya,Om Prakash,"Nutan, Raj Kapoor, Lalita Pawar, Om Prakash, Madan Puri, Pachhi",Social,"Music: Shankar Jaikishan Lyrics: Shailendra, Hasrat Jaipuri",,,,
Kavi Kalidas,S. N. Tripathi,"Nirupa Roy, Bharat Bhushan, Anita Guha, Sapru, Tun Tun, S. N. Tripathi",Devotional,Music: S. N. Tripathi Lyrics: Bharat Vyas,,,,
Keechak Vadha,"Tara Harish, Yashwant Pethkar","Chandrashekhar, Shakeela, K. N. Singh, Agha, Mukri, Helen",Mythology,"Music: Master Krishnarao Lyrics: Bharat Vyas, Saraswati Kumar Deepak",,,,
Khoobsurat Dhokha,Ram Prakash,"Ravindra Kapoor, Shashikala, Jayant, B. M. Vyas, Sunder","Action, Adventure","Music: S. Mohinder Lyrics: Indeevar, Anand Bakshi, Rahil Gorakhpuri",,,,
Kya Ye Bombay Hai,Nanubhai Vakil,"Nishi, Maruti, W. M. Khan, Tun Tun, Jeevankala, Lillian",Action,Music: Bipin Datta Lyrics: Noor Devasi,,,,
Lady Robinhood,B. J. Patel,"Nilofar, Samar Roy, Rajan Kapoor, Shakila Bano Bhopali, Tun Tun, Mirajkar",Action,"Music: Sardul Kwatra Lyrics: Bandhu, Shakeel Nomani, Bekal Amritsari, Aziz Kashmiri, Anand Bakshi",,,,
Love Marriage,Subodh Mukherjee,"Dev Anand, Mala Sinha, Suresh, Pronoti, Kanchanmala",,"Music: Shankar Jaikishan Lyrics: Hasrat Jaipuri, Shailendra",,,,
Maa Ke Aansoo,Dhirubhai Desai,"Ajit, Nalini Jaywant, Agha, Lalita Pawar, Cuckoo",Family,"Music: Sardar Malik Lyrics: Madan Mohan, Raja Mehdi Ali Khan",,,,
Madam XYZ,Nanabhai Bhatt,"Suresh, Shakila, Pran, Nalini Chonker, David, Purnima","Suspense, Action",Music: Chitragupta Lyrics: Prem Dhawan,,,,
Madari,Babubhai Mistri,"Ranjan, Chitra, Jayshree Gadkar, Manhar Desai, Sunder, Sheela Vaz","Action, Drama","Music: Kalayanji Anandji Lyrics: Indeevar, Faruk Kaiser, Madhur",,,,
Madhu,"Gyan Mukherjee, S. Bannerjee","Karan Dewan, Meena Kumari, Kumkum, Tun Tun, Jagdish Sethi, Sheela Vaz",Social,"Music: Roshan Lyrics: Shailendra, Prem Dhawan, Naqsh Lyallpuri",,,,
Main Nashe Men Hoon,Naresh Saigal,"Raj Kapoor, Mala Sinha, Nishi, Nazir Hussain, Purnima, Dhumal, Helen",Social,"Music: Shankar Jaikishan Lyrics: Shailendra, Hasrat Jaipuri",,,,
Maine Jeena Seekh Liya,Satish Nigam,"Ravinder Kapoor, Ameeta, Murad, Durga Khote, Agha, Sushil Kumar","Social, Drama",Music: Roshan Lyrics: Rahil Gorakhpuri,,,,
Minister,Raman B. Desai,"Sohrab Modi, Roopmala, Bhagwan, Om Prakash, Jeevan, Sulochana, Murad, Gopi Krishna",Social,Music: Madan Mohan Lyrics: Rajendra Krishan,,,,
Mohar,P. Jairaj,"Shammi Kapoor, Geeta Bali, Kuldip Kaur, Minu Mumtaz, Lalita Pawar, Tiwari","Action, Drama",Music: Madan Mohan Lyrics: Rajendra Krishan,,,,
Mr. John,Inder,"Shyama, Johnny Walker, Helen, Mohan Choti, Iftekhar, Lalita Pawar",Comedy,Music: Datta Naik Lyrics: Jan Nisar Akhtar,,,,
Naach Ghar,R. S. Tara,"Ashok Kumar, Anoop Kumar, Shubha Khote, Dhumal, Gopi Krishna, Iftekhar, Helen","Social, Drama",Music: N. Dutta Lyrics: Sahir Ludhianvi,,,,
Nai Raahen,Brij Sadanah,"Ashok Kumar, Geeta Bali, Shubha Khote, Anoop Kumar, Madan Puri, Radhakishen, Nazir Hussain",,"Music: Ravi Lyrics: Shailendra, Majrooh Sultanpuri, Prem Dhawan",,,,
Navrang,V. Shantaram,"Mahipal, Sandhya, Keshavrao Date, Vandana, Ulhas, Agha, Jeetendra",Social,Music: C. Ramachandra Lyrics: Bharat Vyas,,,,
Naya Sansar,Nanabhai Bhatt,"Pradeep Kumar, Nanda, Jayshree Gadkar, Tun Tun, Dhumal, Sheela Vaz, Sunder, Shammi",Social,Music: Chitragupta Lyrics: Rajendra Krishan,,,,
O Tera Kya Kahna,K. Parvez,"Sheikh Mukhtar, Chitra, Mehmood, Bhagwan, Helen, Kammo","Comedy, Social","Music: Kalyanji Virji Shah Lyrics: Indeevar, Hasrat Jaipuri Gulshan Bawra",,,,
Paigham,S. S. Vasan,"Dilip Kumar, Vyjayantimala, Raaj Kumar, B. Saroja Devi, Motilal, Minu Mumtaz, Johnny Walker","Social, Drama",Music: C. Ramchandra Lyrics: Pradeep,,,,
Pakshiraj,S. N. Tripathi,"Nirupa Roy, Manhar Desai, Ulhas, S. N. Tripathi",Mythology,"Music: S. N. Tripathi Lyrics: Qamar Jalalabadi, B. D. Mishra, J. S. Kashyap",,,,
Pehli Raat,P. L. Santoshi,"Nimmi, Rehman, Nanda, Sohrab Modi, Soodesh Kumar, Johnny Walker, Jeevan, Lalita Pawar","Family, Drama",Music: Ravi Lyrics: Majrooh Sultanpuri,,,,
Pyar Ki Rahen,Lekhraj Bhakri,"Pradeep Kumar, Anita Guha, Pran, Kuldip Kaur, Helen, Om Prakash, Jeevan, Sunder, Tiwari","Family, Social",Music: Kanu Ghosh Lyrics: Prem Dhawan,,,,
Qaidi No. 911,Aspi Irani,"Sheikh Mukhtar, Nanda, Mehmood, Daisy Irani, Honey Irani, Minu Mumtaz, Tun Tun, Achala Sachdev, Hiralal","Crime, Social",Music: Dattaram Lyrics: Hasrat Jaipuri,,,,
Raat Ke Rahi,Naseem,"Shammi Kapoor, Jabeen, Iftekhar, Nazir Hussain, Achala Sachdev, Anwar Hussain","Crime, Drama, Romance","Music: Jaidev, Bipin Babul Lyrics: Vishwamitra Adil",,,,
Sahil,Kulbhushan Agarwal,"Shammi Kapoor, Chitra, Kuldip Kaur, Murad, Sapru, Jankidas","Drama, Romance","Music: Suresh Talwar, D. S. Dutt Lyrics: Indeevar, Janardan Muktidoot, Kulbhushan, Taban Jhansvi, Anjaan",,,,
