Title,Director,Cast,Genre,Notes/Music
Sansar,S. S. Vasan,"M. K. Radha, Vanaja, Pushpavalli, Mohana, Agha, Ishwarlal, Ratnappa, Swaraj, David",Social,"Music: Parthasarthi, B. S. Kalla, Lyrics: Pandit Indra"
Sarkar,K. Amarnath,"Ajit, Veena, Usha Kiran, Shashikala, Hiralal, Ulhas, S. Nazir, Cuckoo, Murad","Costume, Action, Drama",Music: Gobind Ram Lyrics:
Saudagar,M. I. Dharamsey,"Nasir Khan, Rehana, K. N. Singh, Shakuntala Paranjpye, Bhudo Advani, Suraiya Choudhary","Social, Drama","Music: C. Ramchandra Lyrics: Pyarelal Santoshi, Hasrat Jaipuri, Hanuman Prasad"
Sazaa,Fali Mistry,"Dev Anand, Nimmi, Shyama, K. N. Singh, Lalita Pawar, Mukri, Durga Khote, Gope","Romance, Melodrama","Music: S. D. Burman Lyrics: Rajendra Krishan, Sahir Ludhianvi (1)"
Shabistan,B. Mitra,"Naseem Banu, Shyam, Sapru, Murad, Cuckoo, Bipin Gupta","Costume, Drama","Shyam died during the making of this film from a fall off a horseback. Music: Madan Mohan, C. Ramchandra Lyrics: Qamar Jalalabadi"
Shagun,S. Arora,"Sulochana Chatterji, Kamal Kapoor, Bhudo Advani, Wasti Ranjit Kumari",,"Music: Husnlal Bhagatram, Sardul Kwatra Lyrics: Mulkraj Bhakri"
Shokian,Kidar Sharma,"Premnath, Suraiya, Jeevan, Helen O'Brian, Nazira, Achala Sachdev","Costume, Action, Drama",Music: Jamal Sen Lyrics: Kidar Sharma
Shri Ganesh Janma,Jayant Desai,"Trilok Kapoor, Nirupa Roy, Jeevan, Ulhas, Vasantrao Pahelwan, Tiwari",Religious,Music: Khemchand Prakash Lyrics: Bharat Vyas
Shri Vishnu Bhagwan,Raja Nene,"Trilok Kapoor, Nirupa Roy, Usha Kiran, Jankidas",Religious,"Music: Avinash Vyas Lyrics: Saraswati Kumar Deepak, Mukhram Sharma"
Shrikrishna Satyabhama,Raja Paranjpe,"Shahu Modak, Purnima, Anant Marathe, Vasantrao Pahelwan, Nimbalkar",Religious,Music: K. Bhole Lyrics: Mukhram Sharma
Simba,Mohammed Hussain,"Bimla, Raja Salim, Krishna Kumari, Baburao, Sheikh, Habib","Action, Adventure","Music: D. C. Dutta Lyrics: Farooq Qaisar, Indeevar (2)"
Stage,Vijay Mhatre,"Dev Anand, Ramola, Kuldip Kaur, Mubarak, Cuckoo, Sunder, Ram Singh, Raj Mehra","Social, Drama",Music: Sardar Malik Lyrics: Sarshar Sailani
Tarana,Ram Daryani,"Madhubala, Dilip Kumar, Shyama, Kumar, Jeevan, Gope, Gulab","Romance, Drama","Music: Anil Biswas Lyrics: D. N. Madhok, Kaif Irfani Prem Dhawan"
Ustad Pedro,Tara Harish,"Sheikh Mukhtar, Begum Para, Mukri, Shammi, Sapru, Agha",Action,Music: C. Ramchandra Lyrics: Raja Mehdi Ali Khan
