Title,Director,Cast,Genre,Notes
Aas Ka Panchhi,J. Om Prakash,"Rajendra Kumar, Vyjayantimala","Family, Drama",Music by Shankar-Jaikishan
Amar Rahe Yeh Pyar,Prabhu Dayal,"Nalini Jaywant, Rajendra Kumar, Nanda, Prabhu Dayal","Drama, Family","Music by C. Ramchandra
Lyrics: Kavi Pradeep"
Amrit Manthan,S. N. Tripathi,"Usha Kiran, Manhar Desai, Sulochana Chatterjee, Ulhas, Ratnamala, Sunder, Yashodhra Katju, Dalpat, Jeevankala, Amirbai Karnataki",Mythology,"Music: S. N. Tripathi
Lyrics: B. D. Mishra"
Aplam Chaplam,Roop K. Shorey,"I. S. Johar, Kumkum, Tiwari",Comedy,Music by Chitragupta
Apsara,B.M. Vyas,"Pradeep Kumar, Padmini, Nirupa Roy",Drama,Husnlal Bhagatram
Arab Ka Sitara,R.K. Rehman,"Shyam Kumar, Sheela Kashmiri, Kamran",Action,Music by Saadat Khan
Bada Aadmi,Kaushal Raj,"Sheikh Mukhtar, Subiraj, Vijaya Choudhry",Action,Chitragupta
Batwara,Karunesh Thakur,"Balraj Sahni, Pradeep Kumar, Jabeen, Shashikala","Family, Drama",Music by S Madan
Bhabhi Ki Chudiyan,Sadashiv Rao Kavi,"Meena Kumari, Balraj Sahni","Family, Drama",Sudhir Phadke
Boy Friend,Naresh Saigal,"Shammi Kapoor, Dharmendra, Madhubala",Romance,Shankar-Jaikishan
Char Diwari,Krishan Chopra,"Shashi Kapoor, Nanda, Manmohan Krishna","Romance, Family",Music by Salil Chowdhary
Chhatrapati Shivaji Maharaj,Ram Narayan Gabale,,,
Chhaya,Hrishikesh Mukherjee,"Sunil Dutt, Asha Parekh",,Music by Salil Chowdhary
Chhote Nawab,S.A. Akbar,"Mehmood, Ameeta, Minoo Mumtaz, Johnny Walker, R.D. Burman","Comedy, Romance",Music by Rahul Dev Burman
Dark Street,Naresh Saigal,"Ashok Kumar, K.N. Singh, Amirbai Karnataki, Nishi",Action,Music by Dattaram
Dharmputra,Yash Chopra,"Shashi Kapoor, Mala Sinha, Rehman, Nirupa Roy, Indrani Mukherjee","Social, Family, Drama",National Film Award for Best Feature Film in Hindi Music by N.Dutta
Do Bhai,Vishram Bedekar,"Shakila, Helen, Abhi Bhattacharya, Om Prakash, Daisy Irani",Family,Music by N.Dutta
Flat No. 9,Ramesh Sharma,"Ashok Kumar, Sayeeda Khan, Helen",,Music by Usha Khanna
Gharana,S.S. Vasan,"Rajendra Kumar, Asha Parekh, Lalita Pawar","Family, Drama",Music by Ravi
Gunga Jumna,Nitin Bose,"Dilip Kumar, Vyjayantimala, Nazir Khan","Drama, Action",Music by Naushad
Hamari Yaad Aayegi,Kidar Sharma,"Tanuja, Ashok Sharma","Romance, Drama",Snehal Bhatkar
Hum Dono,Amarjeet,"Dev Anand, Nanda, Sadhna","Drama, Family, Romance, War",Entered into the 12th Berlin International Film Festival Music by Jaidev
Hum Matwaale Naujawaan,L.R. Asthana,"Shekhar, Sayeeda Khan, Jeevan, Agha","Drama, Family",Chitragupta
Jab Pyar Kisise Hota Hai,Nasir Hussain,"Dev Anand, Asha Parekh, Pran",Romance,Music by Shankar-Jaikishan
Jadoo Nagri,Radhakant,"Ranjan, Vijaya Choudhary, Jeevan",Fantasy,Music by S.N. Tripathi
Jai Bhawani,Dhirubhai Desai,"Jayshree Gadkar, Manhar Desai, Lata Sinha, Veena",Mythology,Music by S. Mohinder
Jai Chittor,Jaswant Jhaveri,"Nirupa Roy, Jairaj, Bipin Gupta","Drama, History",Music by S.N. Tripathi
Jhumroo,Shanker Mukherjee,"Kishore Kumar, Madhubala, Anoop Kumar, Chanchal","Romance, Drama",Music by Kishore Kumar
Junglee,Subodh Mukherjee,"Shammi Kapoor, Saira Banu, Anoop Kumar, Lalita Pawar, Azra",Romance,"Intro: Saira Banu, Music by Shankar- Jaikishan"
Kabuliwala,Hemen Gupta,"Balraj Sahni, Usha Kiran, Sonu, Baby Farida",Drama,"A Bimal Roy Productions, Music by Salil Choudhary"
Karorepati,Mohan Sehgal,"Kishore Kumar, Kumkum, Anoop Kumar, Shashikala","Comedy, Crime",Music by Shankar-Jaikishan
Kanch Ki Gudiya,H.S. Rawail,"Manoj Kumar, Sayeeda Khan, Tarun Bose, Shubha Khote","Drama, Family",Music by Suhrid Kar
Khiladi,B.J. Patel,"Ranjan, Jabeen, Shammi, Sunder, Tiwari",Action,Sardul Kwatra
Madan Manjri,J. Trivedi,"Manhar Desai, Ajit, Nalini Chonker",Fantasy,Sardar Malik
Main Aur Mera Bhai,Dharam Kumar,"Ajit, Ameeta, Lalita Pawar, Helen","Family, Drama",Music by C. Arjun composer
Matlabi Duniya,Radhakant M Thakur,"Anant Kumar, Dhumal, Asha",Social,Shashank Banerji
Maya,D.D. Kashyap,"Dev Anand, Mala Sinha","Drama, Crime, Romance",Salil Chowdhury
Memdidi,Hrishikesh Mukherjee,"Tanuja, Keysi Mehra, Lalita Pawar, Jayant, David",Drama,Music by Salil Choudhary
Mera Suhaag,Hunsur Krishnamurthy,"Nazima, Kanta Rao","Family, Drama",Music by Arun Raghavan
Modern Girl,R. Bhattacharya,"Pradeep Kumar, Sayeeda Khan, Madan Puri, Iftekhar, Helen","Family, Drama",Ravi
Mr. India,G.P. Sippy,"Geeta Bali, I. S. Johar, Helen, Feroz Khan","Comedy, Crime",Music by G.S. Kohli
Murad,Nari Ghadiali,"Chitra, Asgar, Manju",,Hanuman Prasad Triloki
Nazrana,Sridhar,"Raj Kapoor, Vyjayantimala Gemini Ganesan, Usha Kiran","Family, Drama",Music by Ravi
Umar Qaid,Aspi Irani,"Sheikh Mukhtiar, Sudhir, Nazima, Mukri, Helen, Sulochana.",,Music by Iqbal Qureshi
Opera House,P.L. Santoshi,"Ajit, B. Saroja Devi, Lalita Pawar","Crime Thriller, Romance",Music by Chitragupta
Passport,Pramod Chakravorty,"Pradeep Kumar, Madhubala, K.N. Singh",Thriller,Qamar Jalalabadi-Kalyanji Anandji
Pyaase Panchhi,Harsukh Jagneshwar Bhatt,"Mehmood, Ameeta, Jeevan, David","Romance, Comedy",Music by Kalyanji Anandji
Pyar Ka Sagar,Devendra Goel,"Rajendra Kumar, Meena Kumari, Madan Puri","Romance, Drama",Music by Ravi
Pyaar Ki Dastan,P.L. Santoshi,"Ameeta, Sudesh Kumar, Shubha Khote, Mohan Choti, Helen",Romance,Music by Naushad
Pyaar Ki Pyaas,Mahesh Kaul,"Honey Irani, Shrikant, Nishi, Manmohan Krishna","Drama, Family",Music by Vasant Desai
Ram Lila,Chandrakant,"Abhi Bhattacharya, Jayshree T, Shahu Modak, Leela Chitnis, Tiwari, Anil Kumar, Tun Tun",Mythology,Music by S.N. Tripathi
Razia Sultana,Devendra Goel,"Nirupa Roy, Kamran, Jairaj, Agha, Madhumati","Historical, Romance",Music by Lachchiram Bhairam
Reshmi Rumal,Harsukh Jagneshwar Bhatt,"Manoj Kumar, Shakeela, Kamal Kapoor, K.N. Singh, Helen",Romance,Music by Babul
Roop Ki Rani Choron Ka Raja,Harnam Singh Rawail,"Dev Anand, Waheeda Rehman, Jeevan, Sunder",Romance,Music by Shankar Jaikishan
Saaya,Shreeram,"Nasir Khan, Nigar Sultana, Helen, Chitra, Madan Puri","Family, Drama",Music by Ram Ganguly
Salaam Memsaab,Kalpataru,"Kumkum, Subbi Raj, K.N. Singh","Thriller, Action, Romance",Music by Ravi
Sampoorna Ramayana,Babubhai Mistry,"Mahipal, Anita Guha, Achala Sachdev, Lalita Pawar, Badri Prasad",Mythology,Music by Vasant Desai
Sanjog,Pramod Chakravorty,"Pradeep Kumar, Anita Guha, Shubha Khote, Om Prakash","Drama, Social, Family",Music by Madan Mohan
Sapera,B.J. Patel,"Ranjan, Jeevan Kala, Tiwari",,"Music by Ajit Merchant, Lyrics: Indivar"
Sapne Suhane,Kedar Kapoor,"Balraj Sahni, Geeta Bali, Chandrashekhar, Kamini Kadam","Romance, Drama",Music by Salil Choudhary
Sara Jahan Hamara,Prakash Chabra,"Premnath, Shyama, Jankidas, Azra","Crime, Action, Drama",Music by Babul
Sasural,T. Prakash Rao,"Rajendra Kumar, B. Saroja Devi, Mehmood, Shobha Khote, Dhumal","Family, Drama",Music by Shankar Jaikishan
Sati Renuka,Prakash Rao,"Jamuna, G. Varalaxmi",Mythology,"Music by S L Merchant Shreeram, Lyrics by Bharat Vyas"
Saugandh,G.K. Ramu,"Anjali Devi, Gemini Ganesan, Kamla Laxman, M.N. Nambiar.",Drama,Music by Dilip Dholakia
Savitri,Phani Majumdar,,Children,Received All India Certificate of Merit for the Second Best Children's Film
Senapati,Kedar Kapoor,"Prithviraj Kapoor, Nalini Jaywant","Costume, Drama",Music by Madan Mohan
Shahi Farman,K. Anand,"Krishna Kumari, Kamran",Action,Music by Harbans
Shama,Lekhraj Bhakri,"Nimmi, Suraiya, Vijay Dutt","Social, Drama",Ghulam Mohammed
Shola Aur Shabnam,Ramesh Saigal,"Dharmendra, Tarla","Romance, Drama",Khayyam
