Title,Director,Cast,Genre,Notes
Shola Jo Bhadke,Bhagwan,"KumKum, Purnima, Suresh, Anwar, Bhagwan, Helen",Musical,Music by Nissar
Stree,V. Shantaram,"V. Shantaram, Sandhya, Rajshree",Drama,Music by C. Ramchandra
Suhag Sindoor,Krishanan Panju,"Balraj Sahni, Mala Sinha, Manoj Kumar","Family, Social, Drama",Music by Chitragupta
Tanhai,Ram Narayan Gabale,"Karan Dewan, Usha Kiran, Purnima, Jagirdar",,Music by Mohd. Shafi
Teen Kanya: Tales of Three girls (Bengali),Satyajit Ray,"Chandana Banerjee, Anil Chatterjee, Kali Banerjee, Kumar Roy, Soumitra Chatterjee, Aparna Sen, Gita Dey",Anthology,Based on short stories by Rabindranath Tagore
Teen Ustad,Nanabhai Bhatt,"Suresh, Ameeta, Shammi, Honey Irani","Action, Crime, Drama",Music by Dilip Dholakia
Tel Malish Boot Polish,Romey Dey,"Sheikh Mukhtar, KumKum, Chandrashekhar, Madan Puri","Action, Drama",Music by Chitragupta
Wanted,Nisar Ahmad Ansari,"Vijay Kumar, Sayeeda Khan",Action,Music by Ravi
Warrant,Kedar Kapoor,"Ashok Kumar, Raaj Kumar, Shakeela, Dhumal",Action,Music by Roshan
Wazir-e-azam,R. S. Rahi,"Chand Usmani, Nadira, Indira Billi, Bhagwan, Helen","Adventure, Costume, Drama",Music by Robin Banerjee
Zabak,Homi Wadia,"Mahipal, Shyama, Chitra","Costume, Drama",Chitragupta
Zalim Jadugar,Sultan,"Hercules, Neeta, Rajrani","Fantasy, Action",Music by Iqbal
Zamana Badal Gaya,Jayant Desai,"Charlie, Chand Usmani, Naina, Iftekhar, Bhagwan, Helen",Social,Music by Iqbal Qureshi
Zindagi Aur Khwab,S. Banerjee,"Meena Kumari, Rajendra Kumar, Jayant, Agha, Naaz, Pratima Devi, Jeevankala","Romance, Melodrama","Music: Dattaram
Lyrics: Kavi Pradeep"
