"Title","Director","Cast","Genre","Sources",
"Aan Baan","Prakash Mehra","Raakhee, Pran","Drama","",
"Aankh Micholi","Ramanna","Rakesh Roshan, Bharathi, Farida Jalal","Drama","",
"Aankhon Aankhon Mein","Raghunath Jhalani","Rakesh Roshan, Raakhee, Pran","Drama","",
"Amar Prem","Shakti Samanta","Rajesh Khanna, Sharmila Tagore","Drama","",
"Annadata","Asit Sen","Jaya Bhaduri, Anil Dhawan","Drama","",
"Anokha Daan","Asit Sen","Kabir Bedi, Tarun Bose, Anil Dhawan, Zaheera","Drama","",
"Anokha Milan","Jagannath Chatterjee","Dilip Kumar, Dharmendra","Drama","",
"Anokhi Pehchan","Satyen Bose","Sanjay Khan, Raakhee","Drama","",
"Anuraag","Shakti Samanta","Nutan, Rajesh Khanna","Drama","",
"Apna Desh","Jambu","Rajesh Khanna, Mumtaz","Drama","",
"Apradh","Feroz Khan","Feroz Khan, Mumtaz","Action","",
"Babul Ki Galiyaan","S.D. Narang","Sanjay Khan, Hema Malini, Shatrughan Sinha","Drama","",
"Baharon Phool Barsao","","Dheeraj Kumar","Drama","",
"Bandagi","K. Shankar","Pandharibai","Romance","",
"Bansi Birju","Prakash Verma","Amitabh Bachchan, Jaya Bhaduri","Romance","",
"Bawarchi","Hrishikesh Mukherjee","Rajesh Khanna, Jaya Bhaduri","Comedy","",
"Be-Imaan","Sohanlal Kanwar","Manoj Kumar, Raakhee, Pran","","",
"Bees Saal Pehle","Probir Roy","Lalita Pawar","Drama","",
"Bhai Ho To Aisa","Manmohan Desai","Jeetendra, Hema Malini, Shatrughan Sinha","Drama","",
"Bombay to Goa","S. Ramanathan","Amitabh Bachchan, Aruna Irani, Mehmood","Drama","",
"Buniyaad","Virender Sinha","Rakesh Roshan, Shatrughan Sinha, Yogeeta Bali, Pran","Drama","",
"Dastaan","B.R. Chopra","Dilip Kumar, Sharmila Tagore, Bindu","Drama","",
"Dharkan","Devendra Goel","Sanjay Khan, Mumtaz","Thriller","",
"Dil Daulat Duniya","Prem Narayan Arora","Rajesh Khanna, Ashok Kumar, Helen","Drama","",
"Dil Ka Raja","P. Madhavan","Waheeda Rehman, Raaj Kumar","Action","",
"Do Bachche Dus Haath","Kalpataru","Nasir Ahmad Ansari, Prem Nath","Drama","",
"Do Chor","Padmanabh","Dharmendra, Tanuja","Action","",
"Do Gaz Zameen Ke Neeche","Tulsi Ramsay","Satyendra Kapoor","Horror","",
"Do Yaar","Kewal Misra","Vinod Khanna, Rekha, Shatrughan Sinha","Action","",
"Double Cross","Gogi Anand","Vijay Anand, Rekha","Action","",
"Dushman","Dulal Guha","Rajesh Khanna, Mumtaz","Drama","",
"Ek Adhuri Kahani","Mrinal Sen","Utpal Dutt, Shekhar Chatterjee","Drama","",
"Ek Bar Mooskura Do","Ram Mukherjee","Shobhna Samarth, Joy Mukherjee, Tanuja, Deb Mukherjee","Drama","",
"Ek Bechara","S.M. Abbas","Jeetendra, Rekha, Vinod Khanna, Pran","Drama","",
"Ek Hasina Do Diwane","S.M. Abbas","Jeetendra, Babita, Vinod Khanna","Romance","",
"Ek Khiladi Bawan Pattey","","Vinod Khanna, Ravi Khanna","","",
"Ek Nazar","B.R. Ishara","Amitabh Bachchan, Jaya Bhaduri, Nadira","Romance","",
"Gaon Hamara Shaher Tumhara","Naresh Kumar","Rajendra Kumar, Rekha","Romance","",
"Garam Masala","Aspi Irani","Aruna Irani, Mehmood","Comedy","",
"Gomti Ke Kinare","Saawan Kumar Tak","Meena Kumari, Sameer Khan, Mumtaz","Drama","",
"Gora Aur Kala","Naresh Kumar","Rekha, Rajendra Kumar, Hema Malini","Action","",
"Grahan","Arvind Kumar Sinha","Nutan","Drama","",
"Haar Jeet","C.P. Dixit","Rehana Sultan, Anil Dhawan","Drama","",
"Hari Darshan","Chandrakant","Dara Singh","Fantasy","",
"Jai Jwala","Manohar Deepak","Sunil Dutt","Drama","",
"Jangal Mein Mangal","Rajendra Bhatia","Kiran Kumar, Reena Roy, Pran","Romance","",
"Janwar Aur Insaan","Tapi Chanakya","Shashi Kapoor, Raakhee","Drama","",
"Jawani Diwani","Narendra Bedi","Randhir Kapoor, Jaya Bhaduri","Romance","",
"Jeet","Adurthi Subba Rao","Randhir Kapoor, Babita","Romance","",
"Joroo Ka Ghulam","A. Bhimsingh","Rajesh Khanna, Nanda","Comedy","",
"Koshish","Sampooran Singh Gulzar","Sanjeev Kumar, Jaya Bhaduri","","",
"Lalkaar","Ramanand Sagar","Dharmendra, Rajendra Kumar, Mala Sinha, Kum Kum","Action","",
"Maalik","A. Bhimsingh","Rajesh Khanna, Sharmila Tagore","Drama","",
"Man Jaiye","B.R. Ishara","Rakesh Pandhya","Drama","",
"Maya Darpan","Kumar Shahani","Aditi, Anil Pandya","Drama","",
