"Title","Director","Cast","Genre","Sources",
"Aadamkhor","Joginder","Joginder Shelly, Neelam Mehra, Nazneen","","",
"Aag Aur Shola","K. Bapaiah","Shoma Anand, Asrani, Bindu","","",
"Aakhree Raasta","","Amitabh Bachchan, Sridevi, Jaya Prada, Sadashiv Amrapurkar","","",
"Aap Ke Saath","J. Om Prakash","Smita Patil, Anil Kapoor, Rati Agnihotri","Drama, Family","",
"Aashiana","Mahesh Bhatt","Mark Zubair, Deepti Naval, Soni Razdan","","",
"Adhikar","Chitrayug, Vijay Sadanah","Rajesh Khanna, Tina Munim, Zarina Wahab","","",
"Aisa Pyaar Kahan","Vijay Sadanah","Jeetendra, Jayapradha, Mithun Chakraborty","","",
"Albela","","","Romance","",
"Allah-Rakha","Ketan M. Desai","Jackie Shroff, Shammi Kapoor, Waheeda Rehman","","",
"Amrit (film)","Mohan Kumar","Rajesh Khanna, Smita Patil, Aruna Irani","Drama, Family","",
"Anaadi Anant","Prakash Jha","Surekha Sikri, Vasant Jasaljar, Suman Kumar","","",
"Andaz Pyaar Ka","","Neelam","","",
"Andheri Raat Mein Diya Tere Haath Mein","Dada Kondke","Dada Kondke, Usha Chavan, Dina Pathak","","",
"Angaaray","Rajesh Seth","Rajesh Khanna, Smita Patil, Raj Babbar","Adventure, Crime, Romance","",
"Ankush","N. Chandra","Nana Patekar, Rabia Amin, Raja Bundela","Drama","",
"Anokha Insaan","","T.P. Jain, Padma Khanna","","",
"Anokha Rishta","I.V. Sasi","Rajesh Khanna, Smita Patil, Sabeeha","Drama","",
"Anubhav","Kashinath","Shekhar Suman, Padmini Kolhapure, Padma Khanna","Comedy, Drama","",
"Asli Naqli","Sudershan Nag","Shatrughan Sinha, Rajnikanth, Anita Raj","","",
"Avinash","Umesh Mehra","Mithun Chakraborty, Poonam Dhillon, Bindiya Goswami","Action, Crime, Drama","",
"Baat Ban Jaye","Bharat Rangachary","Zeenat Aman, Amol Palekar, Utpal Dutt","","",
"Babul","Govind Moonis","Aakash, Brahmachari, Shreechand Makhija","Drama","",
"Badkaar","","Sadhana Singh","","",
"Bhagwaan Dada","J. Om Prakash","Rajnikanth, Rakesh Roshan, Sridevi","","",
"Bhai Ka Dushman Bhai","Sudesh Issar","Puneet Issar, Suresh Oberoi, Rameshwari","","",
"Car Thief (film)","Sameer Malkan","Suneil Anand, Vijayata Pandit, Kevin Mukherji","","",
"Chambal Ka Badshah","S. Dinesh","Danny Denzongpa, Roma Manik, Raj Kiran","","",
"Chameli Ki Shaadi","Basu Chatterjee","Anil Kapoor, Amrita Singh, Om Prakash","Comedy, Drama, Romance","",
"Chhota Aadmi","Krishnakant","Naresh Kanodiya, Komal Mahuvakar, Jayshree T.","","",
"Congregation","Muzaffar Ali","Shabana Azmi, Farooq Shaikh, Rohini Hattangadi","Drama","",
