"Title","Director","Cast","Genre","Sources",
"Dahleez","Ravi Chopra","Jackie Shroff, Raj Babbar, Meenakshi Sheshadri","Drama, Family, Action","",
"Dancing City","","","Romance","",
"Dharm Adhikari","","Dilip Kumar, Jeetendra, Sridevi, Pran","","",
"Dilwaala","K. Murali Mohana Rao","Asrani, Mithun Chakraborty, Dulari, Pran","","",
"Dosti Dushmani","T. Rama Rao","Jeetendra, Rishi Kapoor, Bhanupriya, Poonam Dhillon, Pran","","",
"Durgaa Maa","K.S. Reddy","Beena Banerjee, Shubha Khote, Raj Kiran","","",
"Duty","Ravikant Nagaich","Arun Bakshi, Rakesh Bedi, Govinda","","",
"Ek Aur Sikander","Bhaskar Shetty","Rati Agnihotri, Mithun Chakraborty, Amrish Puri","Action","",
"Ek Chadar Maili Si","Sukhwant Dhadda","Hema Malini, Rishi Kapoor, Poonam Dhillon","Drama","",
"Ek Main Aur Ek Tu","Ravi Tandon","Shashi Kapoor, Rubina, Tanuja","Romance","",
"Ek Pal","","Shabana Azmi, Naseeruddin Shah, Farooq Shaikh","Drama","",
"Ek Ruka Hua Faisla","Basu Chatterjee","S.M. Zaheer, Deepak Kejriwal, Amitabh Srivastava, Pankaj Kapur, Annu Kapoor,","","",
"Fire","Rajaram Vankudre Shantaram","Padmini Kolhapure","","",
"Genesis","Mrinal Sen","Shabana Azmi, Naseeruddin Shah, Om Puri","Drama","",
"Ghar Sansar","K. Bapaiah","Jeetendra, Sridevi, Kader Khan","Family, Crime, Drama","",
"Haathon Ki Lakeeren","","Sanjeev Kumar, Zeenat Aman, Jackie Shroff","Musical, Drama, Family","",
"Ilzaam","","Govinda, Neelam, Shashi Kapoor, Shatrughan Sinha, Anita Raj & Raj Kiran","Romance, Drama","",
"Insaaf Ki Awaaz","D. Rama Naidu","Rekha, Anil Kapoor, Richa Sharma","Action","",
"Inteqam Ki Aag","","Kaajal Kiran, Mahendra Sandhu","","",
"Jaal","Umesh Mehra","Jeetendra, Rekha, Vinod Mehra","Mystery, Thriller","",
"Jadu Nagari","K. Shankar","Sridevi","","",
"Janbaaz","Feroz Khan","Feroz Khan, Anil Kapoor, Dimple Kapadia, Sridevi, Rekha, Amrish Puri","Action, Drama","",
"Jeeva","Raj N. Sippy","Sanjay Dutt, Mandakini, Amjad Khan, Pran","Action, Thriller","",
"Jumbish: A Movement - The Movie","Salahuddin Parvez","Padmini Kolhapure, Akbar Khan, Shafi Inamdar","Romance","",
"Jwala","Sudesh Issar","Puneet Issar, Goga Kapoor, Kamal Kapoor","","",
"Kaanch Ki Deewar","M.N. Yasin","Sanjeev Kumar, Smita Patil, Shakti Kapoor","","",
"Kahan Kahan Se Guzar","","Anil Kapoor","Drama, Family","",
"Kala Dhanda Goray Log","Sanjay Khan","Sunil Dutt, Sanjay Khan, Akbar Khan, Anita Raj, Amrita Singh","Action, Drama","",
"Karma","Subhash Ghai","Dilip Kumar, Nutan, Naseeruddin Shah, Jackie Shroff, Anil Kapoor, Sridevi, Poonam Dhillon, Shakti Kapoor, Dara Singh, Anupam Kher","Action, Drama","",
"Karamdaata","Shashilal Nair","Shammi Kapoor, Mithun Chakraborty, Amrita Singh","","",
"Khamosh Nigahen (1986 film)","","Rakesh Roshan, Deepti Naval","","",
"Khel Mohabbat Ka","Satish Duggal","Farooq Shaikh, Poonam Dhillon, Shakti Kapoor","Romance","",
"Kirayadar","Basu Chatterji","Raj Babbar, Padmini Kolhapure, Utpal Dutt","Comedy, Drama","",
"Kismatwala","S.D. Narang","Mithun Chakraborty, Ranjeeta Kaur, Asha Parekh","","",
"Krishna-Krishna","Chandrakant","Birbal, Biswajeet, Sudhir Dalvi","","",
"Love 86","","Govinda, Rohan Kapoor, Farah, Neelam Kothari, Tanuja, Asrani, Shafi Inamdar","","",
"Love and God","K. Asif","Nimmi, Sanjeev Kumar, Jayant, Agha, Pran","","",
"Maa Beti","","C.S. Dubey, Dinesh Hingoo, B.K. Jaiswal","","",
"Maa Ki Saugandh","Mukul Anand","","","",
"Main Balwan","Mukul Anand","Ravi Baswani, Rakesh Bedi, Rita Bhaduri","","",
"Mangal Dada","","Sunil Dutt, Reena Roy, Sarika","","",
"Married Woman","","Padmini Kolhapure, Jeetendra, Sridevi","","",
"Mazloom","C.P. Dixit","Bina, Feroz, Goga Kapoor","Action, Crime, Drama","",
"Mera Dharam","Bapu","Jackie Shroff, Amrita Singh, Shakti Kapoor","","",
"Mera Haque","Ajay Kashyap","Sanjay Dutt, Anita Raj, Gulshan Grover","","",
"Mohabbat Ki Kasam","K. Pappu","Rajesh Khanna, Dharmendra, Anita Raj, Tanuja","Action, Drama","",
"Muddat","K. Bapaiah","Mithun Chakraborty, Urmila Bhatt, Jaya Pradha","Action, Crime, Drama, Comedy","",
"Musafir","Jabbar Patel","Rekha, Naseeruddin Shah, Moon Moon Sen","Drama","",
"Naache Mayuri","T. Rama Rao","Shekhar Suman, Sudha Chandran, Aruna Irani","Drama, Family","",
"Naam","Mahesh Bhatt","Sanjay Dutt, Kumar Gaurav, Amrita Singh, Poonam Dhillon, Nutan, Akash Khurana, Paresh Rawal","","",
"Nagina","Harmesh Malhotra","Rishi Kapoor, Sridevi, Prem Chopra, Amrish Puri, Jagdeep","Fantasy, Romance","",
"Nain Mile Chain Kahan","","Kamal Kapoor","","",
"Naseeb Apna Apna","Rama Rao Tatineni","Rishi Kapoor, Farha Naaz","","",
"Nasihat","Aravind Sen","Rajesh Khanna, Shabana Azmi, Deepti Naval","Drama, Family","",
"New Delhi Times","","","Drama","",
"Om","","Rajesh Khanna, Mandakini","Horror","",
"Pahunchey Huwe Log","Johnny Walker","Shafi Inamdar, Rishi Kapoor, Shakti Kapoor","Comedy","",
"Palay Khan","Ashim S. Samanta","Jackie Shroff, Poonam Dhillon, Farha Naaz","Action, Thriller","",
"Panchavati","Basu Bhattacharya","Akbar Khan, Deepti Naval, Suresh Oberoi","","",
"Parampara","Prakash Jha","","","",
"Patton Ki Bazi","Ram Govind","Rajan Sippy, Khushboo, Swapna","","",
"Peechha Karro","Pankaj Parashar","Ravi Baswani, Kalpana Iyer, Amjad Khan","Comedy, Thriller","",
"Preeti","Saawan Kumar","Prem Chopra, Rajiv Kapoor, Padmini Kolhapure","Drama","",
"Pyaar Ka Sindoor","Bapu","Somayajulu J.V., Jyoti, Anil Kapoor","","",
"Pyaar Ke Do Pal","Rajiv Mehra","Mithun Chakraborty, Jayapradha, Simple Kapadia","","",
"Pyar Ho Gaya","Girish Manukant","Avinash Wadhavan, Ranjeet Raj, Komal Mahuvakar","Romance","",
"Pyar Kiya Hai Pyar Karenge","Vijay Reddy","Anil Kapoor, Padmini Kolhapure, Anita Raj","Drama, Romance","",
"Qatil Aur Ashiq","Swaroop Kumar","Shoma Anand, Kalpana Iyer, Kanan Kaushal","","",
"Qatl","R.K. Nayyar","Sanjeev Kumar, Ranjeeta Kaur, Shatrughan Sinha","Mystery, Thriller","",
"Ram Milai Jodi","H.S. Kanwal","Kalpana Iyer, Lalita Pawar","","",
"Rao Saheb","Vijaya Mehta","Arvind Gadgil, Chandrakant Gokhale, Vasant Ingle","Comedy, Drama","",
"Ricky","Ashok V. Bhushan","Kunal Goswami, Nutan, Amrish Puri, Pran","Drama, Family","",
"Suhaagan","Rama Rao Tatineni","Jeetendra, Rekha, Govinda, Anuradha, Pran","Family, Drama, Romance","",
"Sajna Saath Nibhana","Jwalamukhi","Dr. Anand, Dharmendra, Satyendra Kapoor","Drama","",
"Samay Ki Dhaara","Sisir Mishra","Shatrughan Sinha, Shabana Azmi, Vinod Mehra","Drama","",
"Samundar","Rahul Rawail","Sunny Deol, Poonam Dhillon, Anupam Kher","Action, Crime, Drama, Adventure, Thriller","",
"Sasti Dulhan Mahenga Dulha","Bhappi Sonie","Mahesh Anand, Arun, Beena Banerjee","Drama","",
"Shart","Ketan Anand","Naseeruddin Shah, Shabana Azmi, Kanwaljit Singh","Drama, Mystery, Thriller","",
"Saveray Wali Gaadi","Bharathi Rajaa","Sunny Deol, Poonam Dhillon, Prem Chopra","","",
"Shatru","Pramod Chakravorty","Rajesh Khanna, Shabana Sadique, Ashok Kumar","Action, Adventure, Crime","",
"Sheela","Deepak Balraj Vij","Kulbhushan Kharbanda, Nana Patekar, Anita Kanwar","Adventure, Thriller","",
"Singhasan","Krishna","Jeetendra, Jaya Prada, Mandakini","","",
"Swarag Se Sunder","K. Bappiah","Jeetendra, Mithun, Padmini Kolhapure, Jaya Prada, Prem Chopra, Kader Khan","","",
"Swarthi","Radhakant","Shafi Inamdar","","",
"Swati","Kranthi Kumar","Shashi Kapoor, Sharmila Tagore, Meenakshi Sheshadri","Drama","",
"Tahkhana","Shyam Ramsay, Tulsi Ramsay","Rana Jung Bahadur, Hemant Birje, Deepak","Action, Drama, Horror","",
"Tan-Badan","Anand","Govinda, Khushboo, Jyoti Patel","","",
"Teesra Kinara","Krishnakant","Raj Babbar, Smita Patil, Anita Raj","Romance","",
"The Living Corpse","Manmohan Sabir","Aakash, Birbal, Mohan Choti","","",
"Trikon Ka Chauta Kon","","Vijayendra Ghatge, Priyadarshinee, Swaroop Sampat","","",
"Veer Bhimsen","","Jayshree Gadkar, Anjana Mumtaz, Dara Singh","","",
"Vikram Betaal","Shantilal Soni","Deepika, Manher Desai, Anjana Mumtaz","Fantasy","",
"Waapsi","Surendra Mohan","Rajesh Khanna, Nalini Jaywant, Heena Kausar","Mystery","",
"Woman","","Zeenat Aman, Shakti Kapoor, Shashi Kapoor","","",
"Yeh Preet Na Hogi Kam","Sheetal","Preeti Ganguli, Kiran Kumar","","",
"Zindagani","Prabhat Roy","Rakhee Gulzar, Mithun Chakraborty, Rati Agnihotri","","",
